"Sample_Name","Biological_Replicate","Technical_Replicate","Negative_control","Cruise_ID_short","Cruise_ID_long","Cast_No.","Rosette_position","Field_collection_method","Preservation","Station","Depth_m_notes","Sample_volume_ml","Personnel_responsible_for_Collecting_Sample","Field_Notes","Date_UTC_notes","Lat_notes","Lon_notes","verbatimEventDate","verbatimEventTime","verbatimLongitude","verbatimLatitude","verbatimCoordinateSystem","Date_UTC_btl","ctd_time..UTC.","ctd_pressure","ctd_latitude..degrees_north.","ctd_longitude..degrees_east.","ctd_BTLID","ctd_salinity_ch1..PSU.","ctd_salinity_ch2..PSU.","ctd_sigma_t_ch1..kg.m.3.","ctd_sigma_t_ch2..kg.m.3.","ctd_chlor_fluorescence..ugrams.l.","ctd_par..umol.m.2.s.1.","ctd_temperature_ch1..degree_C.","ctd_oxy_percentsat_ch1..percent.","ctd_oxy_percentsat_ch2..percent.","ctd_oxy_conc_ch1..umol.kg.","ctd_oxy_conc_ch2..umol.kg.","ctd_temperature_ch2..degree_C.","ctd_Water_Depth..dbar.","ctd_air_pressure_at_sealevel..mbar.","ctd_wind_direction..degrees.","ctd_wind_speed..m.s.1.","ctd_air_temperature..degree_C.","ctd_Station_Name","ctd_profile_id","ctd_SI..uM.l.","ctd_PO4..uM.l.","ctd_NO2..uM.l.","ctd_NO3..uM.l.","ctd_NH4..uM.l.","ctd_PO4_WOCE_FLAG","ctd_SI_WOCE_FLAG","ctd_NO3_WOCE_FLAG","ctd_NO2_WOCE_FLAG","ctd_NH4_WOCE_FLAG","ctd_holder1","ctd_Cast","btl_bottle","btl_oxy_concM_ch1..ml.l.","btl_oxy_percentsat_ch1..percent.","btl_oxy_conc_ch1..micromole.kg.","btl_salinity_ch1..PSU.","btl_salinity_ch2..PSU.","btl_sigma_t_ch1..kg.m.3.","btl_sigma_t_ch2..kg.m.3.","btl_chlor_fluorescence..ugrams.l.","btl_temperature_ch1..degree_C.","btl_temperature_ch2..degree_C.","btl_turbidity..NTU.","btl_pressure..decibar.","btl_latitude..degrees_north.","btl_longitude..degrees_east.","btl_time..UTC.","btl_profile_id","btl_holder1","btl_Cast"
"E1610.NC.DY2209",NA,NA,TRUE,"DY2209","EcoFOCI Fall Mooring 2022",NA,NA,"Sterivex 0.22µm filter","95% EtOH",NA,NA,1000,"Shannon Brown",NA,"2022/09/20 00:00:00",NA,NA,NA,NA,NA,NA,"degrees minutes seconds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E1611.DY2209",1,1,FALSE,"DY2209","EcoFOCI Fall Mooring 2022",1,1,"Niskin; Sterivex 0.22µm filter","95% EtOH","M14",33,1000,"Shannon Brown",NA,"2022/09/21 05:10:00",64.0038333333333,-163.8995,"9/21/2022","5:10","163˚ 53.97' W","64˚ 00.23' N","degrees minutes seconds","2022/09/21 05:10:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7.0715,97.652,308.063,31.8166,31.8136,25.1624,25.1594,0.9191,4.9063,4.9114,2.1691,33.251,64.00383333333333,163.06616,"2022-09-21T05:10:00Z","DY2209c001_btl","001_btl",1
"E1612.DY2209",1,1,FALSE,"DY2209","EcoFOCI Fall Mooring 2022",1,2,"Niskin; Sterivex 0.22µm filter","95% EtOH","M14",20,1000,"Shannon Brown",NA,"2022/09/21 05:10:00",64.0038333333333,-163.8995,"9/21/2022","5:10","163˚ 53.97' W","64˚ 00.23' N","degrees minutes seconds","2022/09/21 05:10:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7.0501,100.859,307.222,31.6566,31.6541,24.857,24.8542,0.8815,6.4465,6.4526,1.9087,20.521,64.00383333333333,163.06616,"2022-09-21T05:10:00Z","DY2209c001_btl","001_btl",1
"E1613.DY2209",1,1,FALSE,"DY2209","EcoFOCI Fall Mooring 2022",1,3,"Niskin; Sterivex 0.22µm filter","95% EtOH","M14",10,1000,"Shannon Brown",NA,"2022/09/21 05:10:00",64.0038333333333,-163.8995,"9/21/2022","5:10","163˚ 53.97' W","64˚ 00.23' N","degrees minutes seconds","2022/09/21 05:10:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7.1668,102.976,312.327,31.6005,31.599,24.7871,24.7859,1.2102,6.6499,6.6505,1.9491,9.801,64.00383333333333,163.06616,"2022-09-21T05:10:00Z","DY2209c001_btl","001_btl",1
"E1614.DY2209",1,1,FALSE,"DY2209","EcoFOCI Fall Mooring 2022",2,1,"Niskin; Sterivex 0.22µm filter","95% EtOH","DB02-3",33,1000,"Shannon Brown",NA,"2022/09/21 09:17:00",64.6733333333333,-168.218333333333,"9/21/2022","9:17","168˚ 13.10' W","64˚ 40.40' N","degrees minutes seconds","2022/09/21 09:17:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6.697,95.449,291.865,31.4992,31.4972,24.7472,24.7457,1.8137,6.3305,6.3301,7.7422,33.889,64.67333333333333,168.21834,"2022-09-21T09:17:00Z","DY2209c002_btl","002_btl",2
"E1615.DY2209",1,1,FALSE,"DY2209","EcoFOCI Fall Mooring 2022",2,2,"Niskin; Sterivex 0.22µm filter","95% EtOH","DB02-3",20,1000,"Shannon Brown",NA,"2022/09/21 09:17:00",64.6733333333333,-168.218333333333,"9/21/2022","9:17","168˚ 13.10' W","64˚ 40.40' N","degrees minutes seconds","2022/09/21 09:17:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6.5971,94.91,287.566,31.3164,31.3133,24.5461,24.5432,1.6507,6.7849,6.7891,3.16,19.886,64.67333333333333,168.21834,"2022-09-21T09:17:00Z","DY2209c002_btl","002_btl",2
"E1616.DY2209",1,1,FALSE,"DY2209","EcoFOCI Fall Mooring 2022",2,3,"Niskin; Sterivex 0.22µm filter","95% EtOH","DB02-3",10,1000,"Shannon Brown",NA,"2022/09/21 09:17:00",64.6733333333333,-168.218333333333,"9/21/2022","9:17","168˚ 13.10' W","64˚ 40.40' N","degrees minutes seconds","2022/09/21 09:17:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6.8863,100.506,300.245,31.1156,31.1138,24.2985,24.297,1.4865,7.4662,7.4673,3.9536,9.338,64.67333333333333,168.21834,"2022-09-21T09:17:00Z","DY2209c002_btl","002_btl",2
"E1617.DY2209",1,1,FALSE,"DY2209","EcoFOCI Fall Mooring 2022",3,1,"Niskin; Sterivex 0.22µm filter","95% EtOH","DB02-2",41,1000,"Shannon Brown",NA,"2022/09/21 12:00:00",64.6791666666667,-169.1,"9/21/2022","12:00","169˚ 06.00' W","64˚ 40.75' N","degrees minutes seconds","2022/09/21 12:00:00","2022-09-21T12:00:00Z",41,64.67917,-169.1,NA,32.0838,32.0788,25.682379,25.678385,0.6783,0.28344,1.3059,102.26617,101.83519,351.9199,350.453,1.3056,45,1003,173,21,6,"DBO 2.2","dy2209c003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"003",3,1,8.5466,108.144,372.134,32.0821,32.0784,25.681,25.6779,0.8159,1.3073,1.3079,2.4285,41.673,64.67916666666666,169.1,"2022-09-21T12:00:00Z","DY2209c003_btl","003_btl",3
"E1618.DY2209",1,1,FALSE,"DY2209","EcoFOCI Fall Mooring 2022",3,2,"Niskin; Sterivex 0.22µm filter","95% EtOH","DB02-2",30,1000,"Shannon Brown",NA,"2022/09/21 12:00:00",64.6791666666667,-169.1,"9/21/2022","12:00","169˚ 06.00' W","64˚ 40.75' N","degrees minutes seconds","2022/09/21 12:00:00","2022-09-21T12:00:00Z",30,64.67917,-169.1,2,31.8823,31.8796,25.277882,25.275698,2.7059,0.28331,4.2943,100.2965,100.55858,320.93994,321.782,4.2947,45,1003,173,21,6,"DBO 2.2","dy2209c003",9.9,0.73,0.06,2.8,0.86,2,2,2,2,2,"003",3,2,7.8581,106.605,342.286,31.8885,31.8884,25.297,25.2962,3.2697,4.1512,4.1587,0.74,29.728,64.67916666666666,169.1,"2022-09-21T12:00:00Z","DY2209c003_btl","003_btl",3
"E1619.DY2209",1,1,FALSE,"DY2209","EcoFOCI Fall Mooring 2022",3,5,"Niskin; Sterivex 0.22µm filter","95% EtOH","DB02-2",10,1000,"Shannon Brown",NA,"2022/09/21 12:00:00",64.6791666666667,-169.1,"9/21/2022","12:00","169˚ 06.00' W","64˚ 40.75' N","degrees minutes seconds","2022/09/21 12:00:00","2022-09-21T12:00:00Z",10,64.67917,-169.1,4,31.4206,31.4194,24.558334,24.557417,0.9815,0.43515,7.3168,96.38116,96.9221,288.2732,289.895,7.3166,45,1003,173,21,6,"DBO 2.2","dy2209c003",NA,NA,NA,NA,NA,2,2,2,2,2,"003",3,5,7.0357,102.535,306.683,31.415,31.422,24.554,24.5595,1.0943,7.3161,7.3158,0.501,9.394,64.67916666666666,169.1,"2022-09-21T12:00:00Z","DY2209c003_btl","003_btl",3
"E1620.DY2209",1,1,FALSE,"DY2209","EcoFOCI Fall Mooring 2022",4,1,"Niskin; Sterivex 0.22µm filter","95% EtOH","DB02-5",43,1000,"Shannon Brown",NA,"2022/09/21 14:05:00",64.1463333333333,-169.146333333333,"9/21/2022","14:05","169˚ 08.78' W","64˚ 08.78' N","degrees minutes seconds","2022/09/21 14:05:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7.7072,104.857,335.747,31.7741,31.7713,25.1913,25.1885,0.9932,4.3005,4.3068,2.5683,43.571,64.9915,169.14633,"2022-09-21T14:05:00Z","DY2209c004_btl","004_btl",4
"E1621.DY2209",1,1,FALSE,"DY2209","EcoFOCI Fall Mooring 2022",4,2,"Niskin; Sterivex 0.22µm filter","95% EtOH","DB02-5",30,1000,"Shannon Brown",NA,"2022/09/21 14:05:00",64.1463333333333,-169.146333333333,"9/21/2022","14:05","169˚ 08.78' W","64˚ 08.78' N","degrees minutes seconds","2022/09/21 14:05:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7.5581,106.654,329.358,31.5644,31.5595,24.8521,24.8459,1.1583,5.8876,5.9078,0.6281,29.995,64.9915,169.14633,"2022-09-21T14:05:00Z","DY2209c004_btl","004_btl",4
"E1622.DY2209",1,1,FALSE,"DY2209","EcoFOCI Fall Mooring 2022",4,5,"Niskin; Sterivex 0.22µm filter","95% EtOH","DB02-5",10,1000,"Shannon Brown",NA,"2022/09/21 14:05:00",64.1463333333333,-169.146333333333,"9/21/2022","14:05","169˚ 08.78' W","64˚ 08.78' N","degrees minutes seconds","2022/09/21 14:05:00","2022-09-21T14:05:00Z",10,64.9915,-169.14633,4,31.4366,31.4351,24.602787,24.601803,1.3872,0.36343,7.0771,98.82668,98.854805,297.17792,297.276,7.0756,48,1001,154,20.8,5.6,"DBO 2.5","dy2209c004",8.6,0.507,0.02,0.5,0.57,2,2,2,2,2,"004",4,5,7.2129,104.567,314.392,31.436,31.4351,24.6016,24.601,1.3831,7.0821,7.0818,0.585,9.755,64.9915,169.14633,"2022-09-21T14:05:00Z","DY2209c004_btl","004_btl",4
