Sample_Name,Biological_Replicate,Technical_Replicate,Negative_control,Cruise_ID_short,Cruise_ID_long,Collection_Date_UTC,Collection_Date_local,Collection_Time_UTC,Collection_Time_local,Field_Sample_Name,Cast_No.,Rosette_position,Field_collection_method,Preservation,Area.within.region,Station,Depth_m,Lat,Lon,Sample_volume_ml,Personnel_responsible_for_Collecting_Sample,Field_Notes,,,,,,,,
E1717.NC.DY23-06,NA,NA,TRUE,DY23-06,2023_AprMay_Dyson,,NA,,NA,NA,NA,NA,Sterivex 0.22µm filter,95% EtOH,NA,NA,NA,NA,NA,1000,Shannon Brown,,,,,,,,,
E1718.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/24/2023,NA,8:51,NA,NA,CTD004,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBS2,135.5,54°25.35',165°08.86',1000,Shannon Brown,Lost the 10 m sample as the Niskin didn't close,,,,,,,,
E1719.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/24/2023,NA,8:51,NA,NA,CTD004,7,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBS2,30,54°25.35',165°08.86',1000,Shannon Brown,Lost the 10 m sample as the Niskin didn't close,,,,,,,,
E1720.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/24/2023,NA,14:44,NA,NA,CTD007,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBW1,471.8,54°21.61',165°55.90',1000,Shannon Brown,,,,,,,,,
E1721.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/24/2023,NA,14:44,NA,NA,CTD007,8,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBW1,30.4,54°21.61',165°55.90',1000,Shannon Brown,,,,,,,,,
E1722.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/24/2023,NA,14:44,NA,NA,CTD007,10,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBW1,10.4,54°21.61',165°55.90',1000,Shannon Brown,,,,,,,,,
E1723.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/24/2023,NA,22:34,NA,NA,CTD010,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBW4,290.2,54°41.21',166°13.81',1000,Shannon Brown,Stored in fridge for ~2 hours before filtering,,,,,,,,
E1724.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/24/2023,NA,22:34,NA,NA,CTD010,7,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBW4,30.2,54°41.21',166°13.81',1000,Shannon Brown,Stored in fridge for ~2 hours before filtering,,,,,,,,
E1725.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/24/2023,NA,22:34,NA,NA,CTD010,9,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBW4,10.9,54°41.21',166°13.81',1000,Shannon Brown,Stored in fridge for ~2 hours before filtering,,,,,,,,
E1726.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/25/2023,NA,6:00,NA,NA,CTD014,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBN4,122,54°56.11',165°28.95',1000,Shannon Brown,,,,,,,,,
E1727.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/25/2023,NA,6:00,NA,NA,CTD014,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBN4,31,54°56.11',165°28.95',1000,Shannon Brown,,,,,,,,,
E1728.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/25/2023,NA,6:00,NA,NA,CTD014,8,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBN4,11.2,54°56.11',165°28.95',1000,Shannon Brown,,,,,,,,,
E1729.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/25/2023,NA,8:41,NA,NA,CTD016,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBN6,110.6,55°02.85',165°05.82',800,Shannon Brown,Airlocked (smaller volume filtered),,,,,,,,
E1730.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/25/2023,NA,8:41,NA,NA,CTD016,5,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBN6,30.5,55°02.85',165°05.82',1000,Shannon Brown,,,,,,,,,
E1731.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/25/2023,NA,8:41,NA,NA,CTD016,8,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBN6,10.3,55°02.85',165°05.82',1000,Shannon Brown,,,,,,,,,
E1732.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/25/2023,NA,13:28,NA,NA,CTD019,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBE3,44.1,54°43.32',164°46.47',1000,Shannon Brown,,,,,,,,,
E1733.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/25/2023,NA,13:28,NA,NA,CTD019,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBE3,30.2,54°43.32',164°46.47',1000,Shannon Brown,,,,,,,,,
E1734.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/25/2023,NA,13:28,NA,NA,CTD019,5,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,UBE3,10.6,54°43.32',164°46.47',1000,Shannon Brown,,,,,,,,,
E1735.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,2:44,NA,NA,CTD027,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M26,65.6,58°16.76',170°06.56',1000,Shannon Brown,,,,,,,,,
E1736.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,2:44,NA,NA,CTD027,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M26,31.2,58°16.76',170°06.56',1000,Shannon Brown,,,,,,,,,
E1737.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,2:44,NA,NA,CTD027,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M26,10.7,58°16.76',170°06.56',1000,Shannon Brown,,,,,,,,,
E1738.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,0:05,NA,NA,CTD025,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,Ice Edge Station 2,66.7,58°20.05',169°57.60',1000,Shannon Brown,,,,,,,,,
E1739.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,0:05,NA,NA,CTD025,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,Ice Edge Station 2,31.1,58°20.05',169°57.60',1000,Shannon Brown,,,,,,,,,
E1740.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,0:05,NA,NA,CTD025,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,Ice Edge Station 2,10.9,58°20.05',169°57.60',1000,Shannon Brown,,,,,,,,,
E1741.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/26/2023,NA,22:56,NA,NA,CTD024,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,Ice Edge Station 1,65.5,58°19.67',169°51.10',1000,Shannon Brown,,,,,,,,,
E1742.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/26/2023,NA,22:56,NA,NA,CTD024,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,Ice Edge Station 1,31.5,58°19.67',169°51.10',1000,Shannon Brown,,,,,,,,,
E1743.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/26/2023,NA,22:56,NA,NA,CTD024,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,Ice Edge Station 1,10.8,58°19.67',169°51.10',1000,Shannon Brown,,,,,,,,,
E1744.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/26/2023,NA,17:08,NA,NA,CTD023,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,Ice Station 2,65.7,58°19.43',169°42.17',1000,Shannon Brown,,,,,,,,,
E1745.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/26/2023,NA,17:08,NA,NA,CTD023,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,Ice Station 2,31,58°19.43',169°42.17',1000,Shannon Brown,,,,,,,,,
E1746.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/26/2023,NA,17:08,NA,NA,CTD023,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,Ice Station 2,10.8,58°19.43',169°42.17',1000,Shannon Brown,,,,,,,,,
E1747.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/26/2023,NA,19:46,NA,NA,CTD022,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,Ice Station 1,66,58°16.73',169°43.24',1000,Shannon Brown,,,,,,,,,
E1748.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/26/2023,NA,19:46,NA,NA,CTD022,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,Ice Station 1,31,58°16.73',169°43.24',1000,Shannon Brown,,,,,,,,,
E1749.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/26/2023,NA,19:46,NA,NA,CTD022,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,Ice Station 1,11,58°16.73',169°43.24',1000,Shannon Brown,,,,,,,,,
E1750.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,5:41,NA,NA,CTD028,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M24,64.8,58°02.70',169°40.85',1000,Shannon Brown,,,,,,,,,
E1751.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,5:41,NA,NA,CTD028,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M24,30.9,58°02.70',169°40.85',1000,Shannon Brown,,,,,,,,,
E1752.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,5:41,NA,NA,CTD028,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M24,10.5,58°02.70',169°40.85',1000,Shannon Brown,,,,,,,,,
E1753.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,8:16,NA,NA,CTD030,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M22,62.6,57°55.79',169°19.96',1000,Shannon Brown,,,,,,,,,
E1754.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,8:16,NA,NA,CTD030,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M22,30.4,57°55.79',169°19.96',1000,Shannon Brown,,,,,,,,,
E1755.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,8:16,NA,NA,CTD030,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M22,10.5,57°55.79',169°19.96',1000,Shannon Brown,,,,,,,,,
E1756.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,17:25,NA,NA,CTD033,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M4,67.3,57°51.25',168°54.18',1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering,,,,,,,,
E1757.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,17:25,NA,NA,CTD033,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M4,30.9,57°51.25',168°54.18',1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering,,,,,,,,
E1758.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,17:25,NA,NA,CTD033,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M4,9.6,57°51.25',168°54.18',1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering,,,,,,,,
E1759.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,19:40,NA,NA,CTD034,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M19,63.9,57°39.24',169°00.63',1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering,,,,,,,,
E1760.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,19:40,NA,NA,CTD034,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M19,31,57°39.24',169°00.63',1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering,,,,,,,,
E1761.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,19:40,NA,NA,CTD034,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M19,10.6,57°39.24',169°00.63',1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering,,,,,,,,
E1762.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,21:42,NA,NA,CTD035,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M18,66.5,57°31.41',168°36.68',1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering,,,,,,,,
E1763.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,21:42,NA,NA,CTD035,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M18,30.6,57°31.41',168°36.68',1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering,,,,,,,,
E1764.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/27/2023,NA,21:42,NA,NA,CTD035,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M18,10.2,57°31.41',168°36.68',1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering,,,,,,,,
E1765.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/28/2023,NA,0:34,NA,NA,CTD037,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M16,67.3,57°30.05',167°59.30',1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering,,,,,,,,
E1766.DY23-06,1,1,FALSE,DY23-06,2023_AprMay_Dyson,4/28/2023,NA,0:34,NA,NA,CTD037,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M16,30.9,57°30.05',167°59.30',1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering,,,,,,,,
