Sample	lat	long	replicates	controls	group1	group2	group3	group4	group5	group6	group7	group8	Depth	Altitude	rough_mi_offshore	hr_afterLD	CTDTEMP	CTDSAL	CTDOXY	DIC	TA	pH	Carbonate	Silicate	Phosphate	Nitrate	Nitrite	Ammonium	Methane	aragonite_sat	degLat	Chl_a	SYNECHOCOCCUS	EUK_PHYTOPLANKTON	LARGE_DIATOM	CRYPTOPHYTE	BACTERIA	BACTERIA_HNA	BACTERIA_LNA	mL_filt
Anacapa	33.993	-119.371	E856_E857_E858_E859	NA	Line16	day	undersat_arg_oversat_arg	benthic_pelagic_surface	upper100	waySouth	near	shelf	81.9_59.1_29.6_3.3	10.1_32.9_62.4_88.7	13	9.6_9.7_9.8	10.322_11.068_13.912_19.517	33.771_33.588_33.502_33.537	144.4_171.8_247.4_262.4	2151.6_2129.5_2052_1996.5	2235.1_2229.5_2233.3_2237.6	7.5864_7.6296_7.837_7.9665	81.11795174_86.7303874_136.533843_167.1096243	18.6_14.1_2.6_0.8	1.55_1.33_0.44_0.2	18_14.7_0.6_0	0.04_0.03_0.02	0.04_0.01	4.935_5.21_5.156_4.582	1.14430607_1.281028792_2.017005279_2.67417149	33.993	NA_1.1_0.9	NA	NA	NA	NA	NA	NA	NA	1000
B17	41.941_41.942	-124.602	E626_E627	NA	Line8	day	undersat_arg_oversat_arg	pelagic_surface	upper100	waySouth	offshore	shelf	99.2_3.6	337.8_433.4	17	6.7_7	8.196_11.561	33.946_33.298	114.3_254	2218_2055.5	2261_2236.1	7.4464_7.8329	60.94214489_130.3730327	39.6_9.4	2.24_0.98	29.3_8.9	0.31_0.44	0.04_0.2	11.093_5.797	0.857622996_2.000973697	41.941_41.942	NA_3	NA	NA	NA	NA	NA	NA	NA	1000
B26	41.899_41.898	-124.795_-124.796	E622_E623	NA	Line8	day	undersat_arg_oversat_arg	pelagic_surface	upper100	waySouth	offshore	shelf	99.4_4.2	597.6_692.8	26	4.4_4.7	8.27_11.796	33.787_33.132	159_263.9	2190.5_2069.1	2248.8_2220.8	7.5048_7.7744	68.65169747_114.093709	32.5_11.7	1.98_1.09	26.4_10.5	0.18_0.36	0.04_0.24	6.649_5.254	0.952775899_1.736926719	41.899_41.898	NA	NA	NA	NA	NA	NA	NA	NA	1000
B2_5	41.998	-124.283	E638_E639_E640	NA	Line8	day	oversat_arg	benthic_pelagic_surface	upper100	waySouth	near	shelf	26.1_10.4_3.1	9.9_25.6_32.9	2.5	13_13.1	10.144_12.893_13.249	33.447_33.331_33.31	247.7_368.6_375.6	2049.6_1998.2_1976.8	2252_2251.9_2250.5	7.8575_7.9829_8.0243	136.1401956_170.4718264_184.9268011	3.1_1.1_0.8	0.7_0.36_0.32	1.6_0	0.23_0.03	0.26_0.05_0.03	9.881_9.932_9.274	2.180469548_2.706174383_2.907401679	41.998	NA_18.5	4965_1055_828	3760_3510_2510	1640_922_673	10.7_10.2_8.63	2430000_2230000_2510000	1280000_1290000_1410000	735000_662000_819000	1000
B5	41.993	-124.327	E635_E636_E637	NA	Line8	day	undersat_arg_oversat_arg	benthic_pelagic_surface	upper100	waySouth	near	shelf	36.4_19.5_3.6	9.6_26.5_42.4	5	11.9_12.1	9.443_9.841_13.517	33.759_33.462_33.339	149.5_217.1_355.5	2183.2_2145.2_1948.3	2254.8_2240.7_2251.5	7.5372_7.6123_8.0748	73.85526177_83.84894603_196.4576601	29.3_19.2_0.6	1.98_1.55_0.24	19.8_16.4_0	0.54_0.59_0.03	3.83_1.44_0.04	17.746_10.781_8.441	1.068056864_1.25079548_3.19848794	41.993	NA_9.4_19.1	1795_5735_1110	2630_4830_6790	1120_1010_2840	7.62_0	1200000_1210000_2570000	709000_606000_1220000	289000_379000_969000	1000
B9	41.975	-124.416	E632_E633_E634	NA	Line8	day	undersat_arg_oversat_arg	benthic_pelagic_surface	upper100	waySouth	near	shelf	78.4_39.4_3.8	9.6_48.6_84.2	9	10.2_10.3_10.5	8.331_8.577_10.849	33.885_33.75_33.465	117.5_152_270.5	2212.7_2188.1_2066	2252.6_NA_2246.3	7.4475_7.4986_7.8252	61.59365865_67.72051678_125.1370943	40.5_31_12.4	2.19_1.98_1.08	27.5_25.8_9	0.36_0.29_0.46	0.54_0.15_0.36	29.787_13.231_9.857	0.840277997_NA_1.990761955	41.975	NA_8.7	468.5_778_10750	216_366_4080	149_68_858	0	733000_641000_2770000	508000_505000_1340000	120000_73000_1070000	1000
BS14	48.719_48.718	-125.677	E411_E412_E413	NA	Line2	day	undersat_arg_oversat_arg	benthic_pelagic_surface	deep_upper100	northBound	near	shelf	156.6_79_3.1	10.4_88_163.9	14	13.2_13.3_13.6	7.709_8.236_8.235_17.599_17.716_17.751	33.309_33.033_33.034_31.496_31.488_31.487	100.2_125.3_124.9_346.1_346.2	2219.4_2188.1_1880.1	2237.4_2226.5_2163.5	7.3744_7.4412_8.0813	51.4469261_58.08017187_194.361735	51.3_44.1_0.4	2.55_2.29_0.18	29.5_27.1_0	0.23_0.22_0.02	1.87_1.46_0.08	38.073_23.455_7.902	0.69536937_0.823368692_3.051104986	48.719_48.718	NA_1	1135_NA_809_10850	813_NA_536_2220	52.4_NA_64.7_328	0_NA_9.25	1120000_NA_1260000_5020000	876000_NA_796000_2740000	224000_NA_573000_2580000	1000
BS2	48.865	-125.425	E423_E424_E425	NA	Line2	day	undersat_arg_oversat_arg	benthic_pelagic_surface	upper100	northBound	near	shelf	43.5_20.5_3.3	10.5_33.5_50.7	2	0.7_0.8	9.224_9.83_16.577	32.359_32.195_29.785	148.2_187.7_346.3	2148_2117.1_1828.2	2205.5_2198.8_2072	7.5011_7.5684_8.0419	64.76379116_72.31976412_150.5299182	42.9_38.9_1.9	2.23_1.98_0.17	19.2_0	0.34_0.33_0.06	4.52_2.59_0.11	30.182_31.285_10.258	0.954676231_1.137430828_2.669807654	48.865	NA_6.1	432_NA_22000	921_NA_7830	247_NA_2330	0_NA	1730000_NA_10000000	1040000_NA_6100000	583000_NA_2770000	1000
BS20	48.658	-125.782	E408	NA	Line2	day	undersat_arg	benthic	upper100	northBound	offshore	shelf	56.7	10.3	20	11	8.334	32.905	127.9	2186.1	2220.2	7.4321	56.65955223	46.9	2.34	27.5	0.26	1.33	32.477	0.799742935	48.658	NA	NA	NA	NA	NA	NA	NA	NA	1000
BS32	48.537_48.536	-125.996	E404_E405_E406	NA	Line2	day	undersat_arg_oversat_arg	benthic_pelagic_surface	deep_upper100	northBound	offshore	shelf	114_59.3_3.4	10_64.7_120.6	32	9.2_9.3_9.5	7.131_7.874_16.756	33.641_32.899_31.726	73.2_126_290.5	2247.8_2186.6_1922.2	2251.3_2213.6_2154.9	7.3183_7.3995_7.9703	46.5864774_53.13741077_155.2343153	52.8_41.8_4.2	2.62_2.33_0.32	33_28.8_0	0.2_0.17_0.03	0.67_0.33_0.04	67.326_16.706_5.917	0.629579869_0.752493754_2.553305791	48.537_48.536	NA_1.3	NA	NA	NA	NA	NA	NA	NA	1000
BS43	48.433	-126.227	E396	NA	Line2	day	undersat_arg	benthic	deep	northBound	offshore	slope	586.1	10.9	43	6.9	4.782	34.168	22.6	2332.3	2323.1	7.2795	43.34529079	95.8	3.07	40.8	0.03	0.01	18.851	0.525773217	48.433	NA	NA	NA	NA	NA	NA	NA	NA	1000
BS48	48.356	-126.307	E392_E394_E395	NA	Line2	day	undersat_arg_oversat_arg	benthic_pelagic_surface	deep_upper100	northBound	offshore	slope	1275.1_99.4_4.2	9.9_1185.6_1280.8	48	4.2_5_5.2	3.044_7.54_14.842	34.468_33.207_31.71	22.3_189.8_275.6	2382.2_2146.5_1932.6	2385.6_2219.9_2144.8	7.3145_7.5448_7.9263	48.70169965_72.65470642_141.6098268	147.2_27.8_3.7	3.17_1.78_0.36	42.2_20.7_0	0.02_0.03	0.02	2.357_4.445_4.651	0.503521392_1.044297529_2.325934125	48.356	NA_0.3	NA	NA	NA	NA	NA	NA	NA	1000
BS6	48.81_48.811	-125.517	E418_E419	NA	Line2	night	undersat_arg_oversat_arg	pelagic_surface	upper100	northBound	near	shelf	50.3_50.7_3.5_3.4_3.2	61.7_61.3_108.5_108.6_108.8	6	5.4_5.7	8.423_8.404_16.063_16.123_16.126	32.745_32.756_31.021_31.015	136.5_380.7_380.8	2172.4_1827.5	2215.8_2125.6	7.4424_8.1103	57.40251867_188.3367524	47_0.6	2.29_0.16	27.9_0	0.25_0.02	0.63_0.06	23.021_10.514	0.857537617_3.195890731	48.81_48.811	NA_5.5	NA_494.5_24700	NA_960_11400	NA_118_1340	NA_0	NA_1980000_9290000	NA_1280000_5540000	NA_682000_2720000	1000
BS64	48.185	-126.596	E388	NA	Line2	day	undersat_arg	benthic	deep	northBound	offshore	plain	2467.9	10.1	64	0.4	1.777	34.636	75.1	2395.9	2436.6	7.4395	65.87606053	192.7	2.94	38.3	0.02	0.01	1.41	0.514300037	48.185	NA	NA	NA	NA	NA	NA	NA	NA	1000
C19	47.116	-124.645	E536_E537_E538_E539	NA	Line4	day	undersat_arg_oversat_arg	benthic_pelagic_surface	upper100	OCNMS	offshore	shelf	82.8_59.1_40.8_3.2	10.2_33.9_52.2_89.8	19	5_5.1_5.3	7.141_7.409_7.636_16.834	33.923_33.844_33.497_31.591	47.5_82.3_99.1_282.5	2278_2245.6_2219.2_1888.8	2266.8_2258.2_2234.1_2180.1	7.273_7.3485_7.3539_8.0916	NA	64_47.5_36.2_1	2.74_2.44_2.33_0.1	33.7_32.3_29.8_0	0.15_0.11_0.46	0.08_0.07_0.09	46.176_34.276_20.884_5.172	0.572341879_0.68583171_0.69387186_3.154363089	47.116	NA_0.6	5420_NA	695_NA	145_NA	0_NA	1240000_NA	872000_NA	203000_NA	1000
C26	47.113	-124.824	E532_E533_E534_E535	NA	Line4	day	undersat_arg_oversat_arg	benthic_pelagic_surface	deep_upper100	OCNMS	offshore	shelf	130.1_99.1_59.7_3.6	9.9_40.9_80.3_136.4	26	3_3.1_3.2_3.4	6.734_7.109_7.592_15.754	33.972_33.923_33.539_31.845	44.3_50.9_124.9_291	2282.6_2271.6_2199.4_1926.8	2277_2263.5_2235.7_2166.6	7.2801_7.2749_7.4301_7.9943	NA	67.2_56.9_36.4_3.8	2.81_2.69_2.15_0.28	34.9_27.8_0	0.37_0.09_0.25_0.12	0.07_0.24_0.14	55.814_19.98_7.117_4.863	0.591898632_0.582509279_0.811794847_2.611227417	47.113	NA_0.8	926_NA	808_NA	61.4_NA	0_NA	1210000_NA	875000_NA	174000_NA	1000
C2_5	47.115_47.114	-124.247	E543_E544_E545	NA	Line4	day	oversat_arg	benthic_pelagic_surface	upper100	OCNMS	near	shelf	17.4_10.3_3.8	9.6_16.7_23.2	2.5	8.4_8.5	14.855_16.847_17.025	31.377_28.428_27.743	283_337_311.8	1928.5_1777.6_1707.5	2139.7_2049.8_2013.4	7.9747_8.1202_8.1993	NA	1.6_0.6_0.4	0.23_0.06_0.08	0	0.14_0.13	0.44_0.09_0.1	15.441_14.668_16.781	2.310980466_2.975764296_3.340159488	47.115_47.114	3.1_NA_8.8	39700_28550_21800	2680_3000_4970	665_1790_3410	0_11.3	3980000_2770000_2060000	2100000_1580000_1010000	1080000_826000_759000	1000
C32	47.115	-124.982	E528_E529_E531	NA	Line4	day	undersat_arg_oversat_arg	benthic_pelagic_surface	deep_upper100	OCNMS	offshore	slope	391.6_298.4_3.6	11.4_104.6_399.4	32	1_1.1_1.7	6.161_6.594_16.213	34.028_33.992_31.557	58.8_65.9_279.8	2279.1_2266.6_1905.7	2285.7_2277.2_2157.2	7.3322_7.3389_8.0253	NA	66_60.4_3.1	2.73_2.64_0.21	36.5_34.8_0	0.09_0.1_0.11	0.07_0.08_0.11	9.247_12.396_4.684	0.613153462_0.644068078_2.736121205	47.115	NA_0.9	NA	NA	NA	NA	NA	NA	NA	1000
C35	47.116	-125.054	E524	NA	Line4	night	undersat_arg	benthic	deep	offshoreW	offshore	slope	1077	12	35	6.8	3.558	34.408	18	2371.7	2370.6	7.3099	NA	131.1	3.25	43.6	0	0.02	6.49	0.507499741	47.116	NA	NA	NA	NA	NA	NA	NA	NA	1000
C41	47.116_47.115	-125.197_-125.198	E520_E522_E523	NA	Line4	night	undersat_arg_oversat_arg	benthic_pelagic_surface	deep_upper100	offshoreW	offshore	slope	1548_99.4_99.8_3.8_4_3.9	10_1458.6_1458.2_1554.2_1554_1554.1	41	1.3_2.1_2.4	2.559_7.645_7.655_15.921_15.924	34.53_33.582_33.577_31.808_31.807	37.8_149.2_149.7_273.4_272	2389.6_2184.2_1935.1	2401.5_2239.3_2152.8	7.3506_7.4889_7.9548	NA	158.8_33.4_2.5	3.16_2.01_0.35	43_26.2_0	0_0.01	0.05_0.03	3.165_1.042_3.733	0.50611351_0.924690657_2.393392978	47.116_47.115	NA_0.4	NA	NA	NA	NA	NA	NA	NA	1000
C77	47.118	-126.087	E516	NA	Line4	day	undersat_arg	benthic	deep	offshoreW	offshore	plain	2471.9	10.1	77	10.8	1.762	34.637	76.6	2391.6	2437.5	7.4456	NA	192.2	3	39.6	0.04	0.04	1.671	0.533394261	47.118	NA	NA	NA	NA	NA	NA	NA	NA	1000
C8	47.118	-124.382_-124.381	E540_E541_E542	NA	Line4	day	undersat_arg_oversat_arg	benthic_pelagic_surface	upper100	OCNMS	near	shelf	40.5_20_4.2	9.5_30_45.8	8	7.1_7.2_7.3	7.456_11.838_16.831	33.718_32.276_27.149	45.2_230.5_330.1	2269.6_2067.2_1705.7	2250.5_2196.2_1986.8	7.2372_7.7166_8.172	NA	60.1_8.7_0.7	2.73_0.82_0.1	32.2_3.8_0	0.3_0.32_0.13	0.08_1.81_0.09	35.233_35.72_15.687	0.541233979_1.538326168_3.093971417	47.118	3.3_NA	13150_175500_35300	2150_6340_7190	458_561_3010	0_105	2470000_7630000_2780000	1730000_4480000_1340000	475000_2250000_891000	1000
CB06	43.301	-124.502_-124.503	E607_E609	NA	Line0	day	undersat_arg_oversat_arg	benthic_surface	upper100	waySouth	near	shelf	80.1_3.6	9.9_86.4	5	4.9_5.2	8.006_12.224	33.932_33.196	106.7_250.7	2248.6_2098.8	2267.4_2232.7	7.368_7.7262	NA	48.9_24	2.57_1.32	30.5_13.9	0.48_0.34	2.67_0.11	25.577_8.503	0.721895873_1.591469624	43.301	NA	721_NA	448_NA	99.5_NA	0_NA	1760000_NA	1020000_NA	425000_NA	1000
CC73_3_50	35.631_35.632	-121.292	E773_E774_E775	NA	Line14	day	undersat_arg_oversat_arg	benthic_pelagic_surface	upper100	waySouth	near	shelf	77.9_39.4_3.4	10.1_48.6_84.6	2.5	3.8_3.9_4.1	10.794_11.899_13.964	33.81_33.723_33.671	136.6_173.9_244.8	2167.4_2133.5_2065.7	2240.6_2237.1_2242.3	7.5537_7.6445_7.8351	75.00990784_90.72551626_132.018749	22.2_15.9_8	1.71_1.36_0.65	20.1_14.7_4.9	0.18_0.42_0.29	0.01_0.15_0.23	27.504_35.517_31.645	1.075712045_1.323153936_1.985687453	35.631_35.632	NA_4.7	NA	NA	NA	NA	NA	NA	NA	1000
CC73_3_55	35.476_35.475	-121.613_-121.614	E780_E781	NA	Line14	day	undersat_arg_oversat_arg	pelagic_surface	upper100	waySouth	offshore	slope	99.7_3.7	891.3_987.3	20	6.9_7.2	9.997_14.332	33.915_33.684	111.6_241.5	2188.7_2059.2	2247.4_2240.6	7.4992_7.8478	68.06129247_138.7022235	25.9_5.7	1.94_0.56	23.4_4.3	0.01_0.22	0_0.45	14.969_34.364	0.966667971_2.033589142	35.476_35.475	NA_3.7	NA	NA	NA	NA	NA	NA	NA	1000
CC73_3_60	35.31_35.309	-121.964_-121.965	E784_E785	NA	Line14	day	undersat_arg_oversat_arg	pelagic_surface	upper100	waySouth	offshore	slope	99.7_4.5	2370.3_2465.5	45	11.2_11.5	9.681_15.395	33.964_33.63	105.9_258.2	2198.5_2037.9	2250.6_2240.5	7.4811_7.8844	65.78073606_149.0452467	29_4.1	2.11_0.55	25.2_1.5	0.06_0.1	0.03_0.22	4.277_16.272	0.921747994_2.242891314	35.31_35.309	NA_1.1	NA	NA	NA	NA	NA	NA	NA	1000
CC73_3_70	34.974_34.975	-122.668	E788_E789	NA	Line14	night	oversat_arg	surface_pelagic	upper100	waySouth	offshore	plain	3.2_3.4_2.8_30.4	4049.8_4049.6_4050.2_4022.6	92	4.5_4.4	15.055_15.054_15.052_14.933	33.658_33.659_33.691	261.8_256.4	2057.6_2074.6	2248.3_2245.3	7.8615_7.8223	144.2013983_133.0755139	2_3.2	0.78_0.91	5.5_7.1	0.22_0.28	0.49_1.01	5.925_5.58_7.26	2.131234404_1.934934138	34.974_34.975	0.6_NA	NA	NA	NA	NA	NA	NA	NA	1000
CC73_3_80	34.642	-123.369	E792	NA	Line14	day	oversat_arg	surface	upper100	waySouth	offshore	plain	3.7	4138.3	140	5.9	14.148	32.825	261.9	2016.7	2204.3	7.8632	135.889054	1.7	0.59	1.9	0.11	0.24	3.328	2.087939978	34.642	0.4	NA	NA	NA	NA	NA	NA	NA	1000
CC80_50_5	34.471	-120.492	E824_E825	NA	Line15	day	oversat_arg	benthic_pelagic	upper100	waySouth	near	shelf	22.1_14.5	9.9_17.5	1	4.1_4.2	13.893_14.469	33.569_33.573	226.9_237.1	2058.4_2060.1	2231.9_2234.2	7.8297_7.8309	132.2039832_131.3456029	5.3_5.4	0.66_0.67	3.4_3.3	0.22	0.37_0.39	566.671_579.367	1.947100584_1.962971228	34.471	NA_3.6	NA	NA	NA	NA	NA	NA	NA	1000
CC80_51	34.448	-120.523_-120.524	E811_E812_E813_E814	NA	Line15	night	undersat_arg_oversat_arg	benthic_pelagic_surface	upper100	waySouth	near	shelf	66.2_66.4_66.3_60.1_40.5_40.6_40.7_3.2_3.3	9.8_9.6_9.7_15.9_35.5_35.4_35.3_72.8_72.7	3	8_8.1_8.3	10.568_10.567_10.563_10.779_10.772_15.359_15.336_15.338	33.762_33.763_33.727_33.729_33.585_33.586	143_142.7_142.5_147.7_259.2	2157.4_2156.5_2151.4_2024.6	2233.4_2232.5_2230.8_2236.4	7.5695_7.5667_7.5823_7.9164	78.60678819_77.88180901_82.95946023_156.7539705	20.2_20.5_19.1_2.4	1.64_1.66_1.59_0.4	19_19.1_18.2_0.6	0.1_0.11_0.12_0.08	0.03_0.04_0.08	102.809_103.578_110.594_121.554_298.271	1.094108518_1.095020276_1.125370991_2.328508343_2.328181478_2.328127839	34.448	NA_5	NA	NA	NA	NA	NA	NA	NA	1000
CC80_52	34.412	-120.579	E822_E823	NA	Line15	day	undersat_arg_oversat_arg	pelagic_surface	upper100	waySouth	near	slope	99_3.3	159_254.7	7	2.1_2.5	10.398_14.399	33.79_33.576	137.9_239.4	2164.4_2048.7	2235.9_2236.7	7.5523_7.8526	76.65736406_136.6216101	21.5_4.4	1.7_0.59	19.9_2.4	0.05_0.19	0.04_0.21	51.588_371.677	1.054820258_2.094457463	34.412	NA_5.4	NA	NA	NA	NA	NA	NA	NA	1000
CC80_54	34.375	-120.663	E819	NA	Line15	day	oversat_arg	surface	upper100	waySouth	near	slope	3.3	457.7	13	0.6	14.523	33.587	251.1	2045	2234.9	7.873	139.7689212	3.6	0.51	1.7	0.1	0.16	167.395	2.112603706	34.375	6.9	NA	NA	NA	NA	NA	NA	NA	1000
CC80_57	34.209	-121.024	E804_E805	NA	Line15	day	undersat_arg_oversat_arg	pelagic_surface	upper100	waySouth	offshore	slope	99.9_4.3	917.1_1012.7	36	11.6_11.8	9.723_15.466	33.95_33.602	114.1_265.4	2189.8_1995.4	2244_2238	7.5028_7.9749	70.10454223_172.9964869	27.1_0.9	1.92_0.24	23.8_0	0.04_0.03	0.02	34.782_45.842	0.933647803_2.623243442	34.209	NA_8	NA	NA	NA	NA	NA	NA	NA	1000
CC80_60	34.151	-121.152	E800_E801	NA	Line15	day	undersat_arg_oversat_arg	pelagic_surface	upper100	waySouth	offshore	plain	98.4_3.9	2089.6_2184.1	44	9_9.3	9.656_15.813	33.915_33.533	123.9_257.6	2185.8_2028.9	2238.5_2235.3	7.5187_7.9081	72.94117116_157.725905	26.5_2.6	1.88_0.47	23.6_0.1	0.03_0.04	0.02_0.06	NA_4.212	0.921301936_2.284208206	34.151	NA_2	NA	NA	NA	NA	NA	NA	NA	1000
CC80_70	33.817_33.816	-121.844_-121.846	E400_E798	NA	Line15	day	undersat_arg_oversat_arg	benthic_surface	deep_upper100	waySouth	offshore	plain	3617_3.3	10_3623.7	90	1.4_3.3	1.546_15.115	34.673_33.501	127.8_260.1	2353.3_2042.5	2454.1_2229	7.5364_7.8749	73.4734413_143.4760539	171.1_1.3	2.77_0.58	37.5_3.6	0.03_0.19	0.04_0.36	1.123_NA	0.60581179_2.087379923	33.817_33.816	NA_0.5	NA	NA	NA	NA	NA	NA	NA	1000
CC90_27_7	33.491	-117.751	E875_E876	NA	Line17	day	oversat_arg	benthic_surface	upper100	waySouth	near	shelf	31.5_3.1	10.5_38.9	0.5	1.8_2	12.606_21.343	33.514_33.529	206.5_273.6	2099.3_1986.1	2244_2243.1	7.7485_7.9934	111.1724287_178.4843915	7.6_0.4	0.93_0.22	6.8_0	0.5_0.01	2.02_0.06	26.563_41.782	1.680256663_2.863882674	33.491	NA_1.5	NA	NA	NA	NA	NA	NA	NA	1000
CC90_28	33.484	-117.768	E872_E873_E874	NA	Line17	night	oversat_arg	benthic_pelagic_surface	upper100	waySouth	near	shelf	53.4_53.3_53.2_26.3_26.2_3_3.1_3.2	9.6_9.7_9.8_36.7_36.8_60_59.9_59.8	2	5.1_5.2_5.3	10.909_10.91_13.671_13.67_21.479_21.482	33.655_33.656_33.42_33.419_33.529	159.3_251.7_264.4	2140.3_2056.6_1984.3	2233.9_2230.7_2242.3	7.6053_7.8256_7.9989	85.58482991_NA_130.8922515_175.9117046	15.4_3.6_0.8	1.42_0.59_0.22	16.4_2.2_0	0.08_0.12_0.01	0.05_0.4	9.089_7.852_12.184_25.377_40.412	1.232457412_1.95094867_2.8756482	33.484	NA_1.4_1	NA	NA	NA	NA	NA	NA	NA	1000
