Sample	lat	long	replicates	controls	group1	group2	group3	group4	group5	group6	group7	group8	Depth	Altitude	rough_mi_offshore	hr_afterLD	CTDTEMP	CTDSAL	CTDOXY	DIC	TA	pH	Carbonate	Silicate	Phosphate	Nitrate	Nitrite	Ammonium	Methane	aragonite_sat	degLat	Chl_a	SYNECHOCOCCUS	EUK_PHYTOPLANKTON	LARGE_DIATOM	CRYPTOPHYTE	BACTERIA	BACTERIA_HNA	BACTERIA_LNA	mL_filt
CC90_30	33.417	-117.905	E880_E881	NA	Line17	day	undersat_arg_oversat_arg	pelagic_surface	upper100	waySouth	near	slope	98.5_3.2	514.5_609.8	11	4.5_4.9	10.332_21.647	33.873_33.565	131.7_247.7	2169.2_1992.7	2246_2241.2	7.5543_7.9792	76.79496115_174.0880218	21.6_0.5	1.71_0.2	20.3_0	0.01_0	0.04	3.642_3.742	1.095221084_2.782924935	33.417	NA	NA	NA	NA	NA	NA	NA	NA	1000
CC90_35	33.251	-118.249	E885_E886	NA	Line17	day	oversat_arg	pelagic_surface	upper100	waySouth	offshore	slope	99.5_99.7_4.2_4.4	225.5_225.3_320.8_320.6	34	12.5_12.7	11.123_11.115_20.691_20.688_20.687	33.607_33.61_33.47_33.471	170.7_240	2133.6_2012	2227.4_2231.6	7.6256_7.9376	88.81055222_162.1437885	13.7_0.7	1.35_0.27	15.5_0	0.01_0	0.03	4.277_3.542_3.596	1.222978867_2.481604897	33.251	NA_0.3	NA	NA	NA	NA	NA	NA	NA	1000
CC90_37	33.182	-118.387	E892	NA	Line17	night	oversat_arg	surface	upper100	waySouth	offshore	slope	3.7	1172.3	43	6.7	20.722	33.503	237.6	2014	2233.1	7.9362	164.1201426	0.8	0.24	0	0.02	0.05	3.356	2.477295057	33.182	0.3	NA	NA	NA	NA	NA	NA	NA	1000
CC90_49	32.81	-119.151	E895_E896	NA	Line17	day	undersat_arg_oversat_arg	pelagic_surface	upper100	waySouth	offshore	slope	99.1_3.6	730.9_826.4	95	6.5_6.8	9.541_18.827	33.964_33.802	103.9_246.7	2201.6_2026.5	2250.2_2251	7.4751_7.9549	66.06650658_160.8064762	29.9_0.1	2.01_0.24	25.6_0	0.05_0.02	0.04_0.08	4.339_3.813	0.897960742_2.50054845	32.81	NA_0.3	NA	NA	NA	NA	NA	NA	NA	1000
CC90_53	32.65	-119.483	E901	NA	Line17	day	oversat_arg	surface	upper100	waySouth	offshore	slope	3.6	1317.4	117	14	18.861	33.635	244.4	2019.1	2241.9	7.9381	160.8186078	1	0.25	0	0.02	0.03	5.073	2.484436907	32.65	0.3	NA	NA	NA	NA	NA	NA	NA	1000
CC90_60	32.418_32.417	-119.96	E903_E904	NA	Line17	night	undersat_arg_oversat_arg	pelagic_surface	upper100	waySouth	offshore	slope	99.2_4.7_3.7_4.2	792.8_887.3_888.3_887.8	150	7.6_7.9	10.359_17.101_17.098	33.581_33.603	178_255.9	2135.7_2021.1	2222.6_2240.5	7.6128_7.929	84.17268255_160.3489956	15.7_0.7	1.45_0.28	17.7_0.1	0.03_0.04	0.03_0.07	7.871_3.883_4.052	1.162851664_2.425532988	32.418_32.417	NA_0.8	NA	NA	NA	NA	NA	NA	NA	1000
CC90_70	32.084	-120.639	E907	NA	Line17	day	oversat_arg	surface	upper100	waySouth	offshore	plain	3.5	3807.5	195	12.8	16.336	33.478	256.2	2030.9	2231.7	7.9029	152.6882643	1.4	0.44	1.6	0.18	0.08	4.188	2.238011085	32.084	0.6	NA	NA	NA	NA	NA	NA	NA	1000
CCE2	34.316	-120.805	E809_E810	NA	Line15	night	undersat_arg_oversat_arg	pelagic_surface	upper100	waySouth	offshore	slope	99.7_99.5_3.4_3.5_3.9	729.3_729.5_825.6_825.5_825.1	22	0.2_0.5	9.883_9.884_15.009_15.011	33.908_33.907_33.601	120.1_282.4	2182.4_2012.2	2239.8_2239.2	7.5152_7.9354	65.46803349_197.5223946	26.1_1.7	1.9_0.33	22.8_0.1	0.03	0.07_0.09	23.734_24.824_11.051_11.627	0.954361336_2.468735295	34.316	NA	NA	NA	NA	NA	NA	NA	NA	1000
CM1	40.245	-124.385_-124.386	E658_E659_E660	NA	Line9	night	undersat_arg	benthic_pelagic	upper100	waySouth	near	shelf	45.9_46_25.5_25.4_5.3_5.2_5	10.1_10_30.5_30.6_50.7_50.8_51	1	6.5_6.7	8.179_8.178_8.511_8.563_8.613_9.071_9.054_9.083	34.046_34.02_34.014_34.011_33.978_33.98_33.977	84.9_106.3_150.9_157.1_202.7	2250.9_2239_2221.5	2272.4_2270.2_2267.6	7.3881_7.4075_7.4479	54.30768841_56.25653307_61.41121364	46.9_43.9_39.8	2.52_2.46_2.38	30.8_29.6_27.4	0.32_0.36_0.41	0.96_1.4_2.21	8.153_14.2_48.448	0.744311073_0.80396588_0.901827673	40.245	NA_0.3	NA	NA	NA	NA	NA	NA	NA	1000
CM20	40.1	-124.716_-124.717	E653_E654	NA	Line9	day	undersat_arg_oversat_arg	pelagic_surface	upper100	waySouth	offshore	slope	99.4_4	835.6_931	20	11.7_12	8.934_14.243	33.728_32.748	169_270.2	2182.5_2015.9	2244.9_2200.6	7.5146_7.8575	71.00737476_135.9689885	28.6_2.9	1.94_0.65	25.5_3.1	0.05_0.14	0.01_0.07	8.787_3.743	0.983769547_2.061926462	40.1	NA_0.7	NA	NA	NA	NA	NA	NA	NA	1000
CM3	40.234	-124.412_-124.413_-124.414	E655_E656_E657	NA	Line9	night	undersat_arg	benthic_pelagic	upper100	waySouth	near	shelf	86.4_30_5.2	9.6_66_90.8	3	4.8_5_5.1	8.373_8.983_9.029	34.041_33.986_33.983	91.8_146.3_142.2	2241.9_2224.6_2221.9	2268.6_2232.1_2267.1	7.4_7.445_7.4509	56.1945611_61.11027183_61.14157028	43.4_39.3_38.7	2.48_2.37_2.36	30_27.4_27.2	0.31_0.4_0.41	1.01_2.12_2.15	9.071_35.378_40.011	0.76696704_0.664492635_0.8954952	40.234	NA_0.3	NA	NA	NA	NA	NA	NA	NA	1000
CM30	40.003	-124.938	E649_E650	NA	Line9	day	oversat_arg	pelagic_surface	upper100	waySouth	offshore	slope	99.3_4.2	1383.7_1478.8	30	9.3_9.5	9.986_13.376	33.51_32.741	214.7_269.5	2139.2_2024.6	2237.5_2199.9	7.6177_7.8315	85.02287915_128.3329997	17.4_4.3	1.62_0.76	18.4_4.7	0.6_0.19	1_0.24	6.114_3.976	1.252850871_1.964916752	40.003	NA_0.4	NA	NA	NA	NA	NA	NA	NA	1000
CM5	40.219_40.217	-124.45_-124.458	E661_E663	NA	Line9	night_day	undersat_arg	benthic_surface	deep_upper100	waySouth	near	shelf	118.2_4.9	9.8_123.1	5	9_0.3	7.957_9.316	34.062_33.943	77.3_158.2	2255.8_2213.3	2273.5_2263.2	7.377_7.4799	53.68480445_64.73830557	49.2_35.1	2.57_2.24	31.9_25.6	0.29_0.44	0.55_2.35	17.174_53.683	0.71212598_0.926686509	40.219_40.217	NA	NA	NA	NA	NA	NA	NA	NA	1000
CM7	40.203_40.202	-124.493_-124.496	E666_E667	NA	Line9	day	undersat_arg	pelagic	deep_upper100	waySouth	near	shelf	100.2_5.3	220.8_315.7	7	1.8_2.1	8.92_9.109	33.984_33.959	133.4_144.4	2224.6_2216.8	2260.9_2264.6	7.439_7.4628	60.65872693_64.56372074	39_36.6	2.36_2.27	27.5_26.5	0.41	1.91_1.95	37.021_42.805	0.821519442_0.911963186	40.203_40.202	NA	NA	NA	NA	NA	NA	NA	NA	1000
CMAP_CO2_Buoy	37.892	-122.441_-122.442	E707_E709	NA	Line12	day	oversat_arg	benthic_surface	upper100	waySouth	near	bay	18.3_3.4	9.7_24.6	0	5.9_6	18.228_18.878	31.318_30.402	215.1_214.1	2165.6_2161.6	2294.8_2291.2	7.7134_7.709	NA_93.75180654	48.1_51.1	3.2_3.37	16.5_17.3	1.18_1.2	7.8_7.28	44.941_44.214	1.66287188_1.689576671	37.892	NA_6.6	NA	NA	NA	NA	NA	NA	NA	750_1000
CR0	46.243_46.245	-124.118_-124.119	E467_E469	NA	Line5	day	oversat_arg	benthic_surface	upper100	southBound	near	river	12.8_3.6	10.2_19.4	0	6_6.2	15.78_17.179	29.081_17.463	296.6_276.2	1816.5_1473.7	2038.3_1604.8	8.04_NA	136.4775248_NA	11.5_NA	0.21_NA	0_NA	0.16_NA	0.08_NA	18.44_98.407	2.436463131_1.385035111	46.243_46.245	6.9_10.3	NA	NA	NA	NA	NA	NA	NA	1000
CR1	46.252_46.251	-124.003	E470_E471	NA	Line5	day	oversat_arg_undersat_arg	surface_benthic	upper100	southBound	near	river	2.9_14.1	21.1_9.9	1	7.4_7.3	20.006_18.775	4.572_9.736	257.6_269.9	1106.1_1272.5	NA_1198	7.7342_7.8126	NA	121.7_143.1	0.67_0.6	5.3_5.6	0.29	2.01_1.6	96.661_101.507	NA_0.127096896	46.252_46.251	4.5_4.9	16850_NA	23300_NA	1980_NA	57.4_NA	4100000_NA	1700000_NA	1430000_NA	750
CR13	46.129	-124.269_-124.27	E486_E487_E488_E489_E490_E491	NA	Line5	day	undersat_arg_oversat_arg	benthic_pelagic_surface	upper100	southBound	near	shelf	87.7_78.2_51_32.6_10.8_3.3	10.3_19.8_47_65.4_87.2_94.7	13	14.9_15_15.1_15.2	7.339_7.337_7.618_7.861_13.095_15.448	33.924_33.662_33.18_31.814_30.059	60.7_60.8_88.1_132.2_263.4_288.8	2266.1_2263.5_2230_2188.2_1951.1_1877.9	2264.4_NA_2218.7_2173.2_2110.9	7.3073_7.309_7.3491_7.4179_7.9527_8.0076	44.58670897_44.01245588_48.39882735_55.63290812_154.937961_142.9735713	59.2_58.4_41.3_33.6_6.4_9.2	2.65_2.63_2.38_2.17_0.36_0.18	32.9_33_31_27.2_0.2_0	0.14_0.11_0.09_0.15_0.1	0.01_0.02	7.367_8.174_11.059_11.327_7.618_11.39	0.614098098_NA_0.778396955_2.404802224_2.556654099	46.129	NA_1.9_2.5	NA	NA	NA	NA	NA	NA	NA	1000
CR2	46.193	-123.914_-123.913	E472_E474	NA	Line5	day	oversat_arg	benthic_surface	upper100	southBound	near	river	10.6_2.8	10.4_18.2	2	9.8_10	20.082_20.877	5.311_2.752	272.2_273.7	1069_1054.7	NA	7.6363_7.6471	NA	149.1_152.5	0.53	4.9_4.8	0.3_0.32	1.24_1.13	193.64_232.657	NA	46.193	NA	NA_17450	NA_32400	NA_3590	NA_35.4	NA_4190000	NA_1600000	NA_1500000	1000
CR24	46.129_46.128	-124.526_-124.527	E492_E494_E495_E496_E497_E498	NA	Line5	night	undersat_arg_oversat_arg	benthic_pelagic_surface	deep_upper100	southBound	offshore	shelf	131_79.7_60.4_20.5_20.3_10.7_3.2	10_61.3_80.6_120.5_120.7_130.3_137.8	24	1_1.2_1.4_1.5	6.743_7.542_7.729_13.362_13.555_16.525_16.532_16.531	33.992_33.753_33.262_31.8_31.779_31.589_31.587_31.588	37_74.2_162.5_309.3_309.5_264.4_264.1	2288.7_2251_2167.5_NA_1923.7_1926.4	2275.9_2249.6_2221.7_2177.1_2162.6_2159.7	7.2632_7.3108_7.4879_NA_7.9885_7.9825	42.05407508_45.28888069_64.44123382_NA_157.9194702_159.1329421	66.7_45.9_29.8_NA_1.1_1	2.89_2.55_1.96_NA_0.26_0.3	35.7_32.7_24.4_NA_0	0.34_0.15_0.1_NA_0.07	0.01_0.14_NA	10.881_7.508_4.778_NA_3.193_3.563	0.560668111_0.612787792_0.921586894_NA_2.615791928_2.562827442	46.129_46.128	NA_2.3_0.5	NA_566_851.5	NA_131_191	NA_61_91.1	NA_17.4_0	NA_1020000_943000	NA_733000_605000	NA_176000_206000	1000_350
CR3	46.131	-124.031	E475_E476_E477_E478_E479	NA	Line5	day	oversat_arg	benthic_pelagic_surface	upper100	southBound	near	shelf	19.7_14_9.7_4.8_4.1	10.3_16_20.3_25.2_25.9	3	12.3_12.4	14.011_15.264_16.483_16.562_16.564	31.508_30.511_29.239_28.529_28.52	323.9_336.8_302.9_289.3_289.2	1904.1_1842.7_1820.3_1819.2_1818.3	2168.5_2122.6_2067.3_2053_2051.6	8.0395_8.0928_8.0695_8.0412_8.0382	172.1616372_186.90687_152.5776045_144.3792916_115.1100008	0.7_0.5_9.4_14.4_14.9	0.29_0.17_0.11_0.1	0	0.16_0.15	0.15_0.04_0.03	18.547_12.055_9.658_10.065_10.154	2.829170975_3.009886258_2.709382793_2.591866044_2.587383797	46.131	10.2_NA_2.2	30600_NA_227500_269000	2930_NA_11100	1170_NA_799_693	23.2_NA_9.41_0	1800000_NA_5010000_7780000	790000_NA_1880000_2980000	764000_NA_4110000_6260000	1000
CR30	46.128_46.127_46.126	-124.669_-124.67_-124.671_-124.672_-124.673	E499_E501_E502_E503_E504_E505	NA	Line5	night	undersat_arg_oversat_arg	benthic_pelagic_surface	deep_upper100	southBound	offshore	shelf	345.2_199.4_99.7_25.7_10.9_3.5	9.8_155.6_255.3_329.3_344.1_351.5	30	6.3_6.4_6.6_6.8_6.9	6.461_6.609_7.681_10.651_16.138_17.03	34.014_33.998_33.708_31.991_31.344_31.126	40.3_39.1_83.6_270.1_271.7_254.1	2291.1_2289.5_2236.2_2007.7_1941.8_1932.4	2280.9_2279.1_2246_2162.1_2145.1_2139.4	7.2815_7.2701_7.3467_7.8099_7.9264_7.9383	43.24387721_42.24564829_47.78504219_118.2045854_140.826885_145.3521876	67.9_65.7_44.2_9.1_1.9_1.2	2.91_2.9_2.42_0.86_0.35_0.29	36.3_36.5_30.9_4.4_0	0.48_0.38_0.09_0.37_0.08	0.07_0.01_0.39_0.02	30.996_26.73_11.987_5.508_3.776_3.291	0.546329388_0.562826392_0.663602322_1.736280136_2.262168716_2.315034945	46.128_46.127_46.126	NA_0.2	NA	NA	NA	NA	NA	NA	NA	1000
CR40	46.13_46.129	-124.909_-124.906	E458_E463_E464_E465_E466	NA	Line5	night	undersat_arg_oversat_arg	benthic_pelagic_surface	deep_upper100	southBound	offshore	slope	1288.1_100.7_45_10.4_3.1_3.3_3.8	9.9_1197.3_1253_1287.6_1294.9_1294.7_1294.2	40	6_6.7_6.8_7	3.04_8.057_9.553_16.268_16.271_16.272_16.273	34.481_33.067_32.295_31.961_31.96_31.959	25.4_201_304.4_255.4_255.1	2380.7_2124_2005.9_1966.9_1968.5	2386.7_2208.8_2169.7_NA_2161	7.3224_7.5852_7.8155_7.8888_7.8906	49.87872962_78.35115638_121.5014746_127.1442859_138.8078707	146.6_21.5_3.8_0.9	3.23_1.64_0.73_0.44_0.45	43.3_18.9_2_0	0.15_0.16_0.24_0.14	0.04_0.02_0.1_0.16_0.2	12.332_5.171_NA_3.288_3.368	0.512115668_1.127569073_1.80165414_NA_2.158111793	46.13_46.129	NA_0.2_0.9	NA	NA	NA	NA	NA	NA	NA	1000
CR50	46.128	-125.189	E506	NA	Line5	day	undersat_arg	benthic	deep	southBound	offshore	slope	1350.6	10.4	50	1.6	2.923	34.488	27.1	2384	2391.9	7.3244	50.79059462	149.3	3.22	43.5	0.04	0.05	3.778	0.513058281	46.128	NA	NA	NA	NA	NA	NA	NA	NA	1000
ChaBa	47.954	-124.907	E446_E447_E448	NA	Line0	night	undersat_arg_oversat_arg	benthic_pelagic_surface	upper100	OCNMS	near	shelf	77.1_76.2_76.5_10.8_3.3_2.9_3.1	9.9_10.8_10.5_76.2_83.7_84.1_83.9	12	5_5.3	7.326_7.347_7.338_15.44_15.477_15.449_15.506_15.502_15.496	33.725_33.719_33.722_31.775_31.772_31.77_31.771	75.7_278.5_278.2	2246.1_1940.5_1946.7_1930.9	2255.2_2165.3_2164.6_2162.2	7.3319_7.952_7.9703	47.36849361_153.2660669_159.2875546	53.7_6.7_5.7	2.56_0.4_0.33	31.7_0.3_0	0.26_0.05_0.03	0.96_0.19_0.13	263.747_32.6_32.597_32.216	0.664148655_2.459277985_2.392537378_2.524847999	47.954	1.3_NA_0.8	NA_1730_281500	NA_3270_16700	NA_321_459	NA_0_39.1	NA_1570000_6080000	NA_1080000_2870000	NA_317000_4840000	1000
GGTX1	37.658_37.657	-122.997	E725_E730	NA	Line12	night	undersat_arg_oversat_arg	benthic_surface	upper100	waySouth	offshore	shelf	79.6_4.7	10.4_85.3	28	0.2_0.5	9.466_11.843	33.963_33.772	85.3_302.7	2229.3_2060.4	2253.4_2259.2	7.3914_7.8689	54.27368486_144.3794604	45_3.6	2.58_0.97	28_10.7	0.14_0.42	0.02_0.3	10.891_5.181	0.755414351_2.170553827	37.658_37.657	NA_15.3	NA	NA	NA	NA	NA	NA	NA	1000
GGTX2	37.718	-122.815	E721_E724	NA	Line12	day	undersat_arg_oversat_arg	benthic_surface	upper100	waySouth	near	shelf	50.3_3.8	10.7_57.2	13	13_13.1	9.53_12.343	33.943_33.762	94.8_286.6	2225_2082.5	2254.7_2268.4	7.4042_7.8381	55.99733282_137.729701	43.8_5.3	2.51_1	27.3_11.8	0.37_0.52	0.06_0.14	10.124_7.15	0.792577675_2.061995945	37.718	NA_19.2	NA	NA	NA	NA	NA	NA	NA	1000
GGTX4	37.793_37.792	-122.562	E716_E718	NA	Line12	day	oversat_arg	benthic_surface	upper100	waySouth	near	shelf	18.2_4.1	9.8_23.9	3	9.8	12.564_14.625	33.655_33.301	180.6_218	2167.6_2148.9	2272.3_2282.4	7.6177_7.7035	89.98927508_103.858993	25.1_25.9	1.85_1.89	17.1_15.2	0.83_0.88	3.79_5.05	15.311_17.107	1.358046935_1.630950287	37.793_37.792	9.2_9.8	NA	NA	NA	NA	NA	NA	NA	1000
GGTX5	37.81	-122.516	E713_E715	NA	Line12	day	oversat_arg	benthic_surface	upper100	waySouth	near	shelf	31.6_3.4	10.4_38.6	0	8.7_8.8	15.009_15.916	33.224_32.956	223.9_219.3	2150.4_2158.2	2285.4_2289.7	7.7097_7.7108	103.4150143_105.961107	25.6_30.3	1.92_2.17	14.4_14.3	0.88_1.01	5.52_6.94	18.895_21.985	1.642623218_1.636128245	37.81	NA	NA	NA	NA	NA	NA	NA	NA	1000
HH10	44_43.999	-124.393_-124.394	E601_E602_E603	NA	Line7	night	undersat_arg_oversat_arg	benthic_pelagic_surface	deep_upper100	waySouth	near	shelf	108.1_50_4.1	9.9_68_113.9	10	7.5_7.7_8	7.394_7.601_12.379	33.992_33.833_32.572	54.8_78.2_280.5	2273.3_2243.9_2009.7	2270.2_2255.2_2203.8	7.3008_7.3482_7.9446	NA	56.4_46.8_5.6	2.78_2.49_0.63	33.7_32.8_3.5	0.53_0.12_0.19	1.33_0.06_0.37	24.758_14.173_5.822	0.607219686_0.680574316_2.132413875	44_43.999	NA_7.4	273_247.5_NA	182_117_NA	24.8_8.38_NA	0_NA	1300000_1070000_NA	966000_780000_NA	199000_172000_NA	1000
HH20	44.001	-124.6_-124.601	E598_E599_E600	NA	Line7	night	undersat_arg_oversat_arg	benthic_pelagic_surface	deep_upper100	waySouth	offshore	shelf	144.2_143.3_143.5_59.6_3.7_3.8	9.8_10.7_10.5_94.4_150.3_150.2	20	1.6_1.9_2.1	7.44_7.444_7.443_7.596_14.158	34.011_33.847_32.16_32.159	70.2_70.6_70.4_76.8_299.6_299.7	2265.1_2245.5_1934.3	2274.1_2257.8_2198.5	7.3365_7.3474_8.0205	NA	54_47.2_0.5	2.7_2.49_0.19	33.7_32.9_0.1	0.45_0.1_0.13	1.16_0.06_0.17	30.931_15.48_5.127	0.661192215_0.685178243_2.83446371	44.001	NA	NA	NA	NA	NA	NA	NA	NA	1000
HH29	44.001	-124.801	E594_E595_E596_E597	NA	Line7	day	undersat_arg_oversat_arg	benthic_pelagic_surface	deep_upper100	waySouth	offshore	shelf	100.5_80.2_50.5_3.4	10.5_30.8_60.5_107.6	29	14.9_15_15.2	7.459_7.552_8.065_13.199	33.87_33.812_33.234_32.076	70.9_81.5_158.5_310	2250.5_2243.2_2163.5_1948.2	2260.2_2256.4_2219.3_2189.2	7.3371_7.3543_7.4947_7.9936	NA	52.1_50_29.2_0.7	2.56_2.5_1.94_0.38	33.3_32.5_24.4_0.3	0.05_0.11_0.04	0.01_0.02_0.03	28.312_39.727_12.997_6.373	0.666362002_0.686195965_0.935536611_2.592712913	44.001	NA_14.9	NA	NA	NA	NA	NA	NA	NA	1000
HH3	44	-124.202_-124.203	E604_E605_E606	NA	Line7	day	undersat_arg	benthic_pelagic_surface	upper100	waySouth	near	shelf	44.9_20.3_3.6	10.1_34.7_51.4	3	0.8_0.9_1	7.605_7.901_10.54	33.868_33.629_32.953	54.6_97.4_212.8	2266.2_2227.2_2133.8	2258.1_2239.5_2209.8	7.2972_7.3622_7.5644	NA	56.3_40.2_34.7	2.72_2.38_1.86	32.4_31_20.1	0.57_0.26_0.45	0.77_0.04_1.35	15.904_20.548_16.783	0.590128411_0.686480704_1.103037547	44	NA_6.9	1155_1780_NA	1030_602_NA	169_98.9_NA	0_16.5_NA	1700000_1650000_NA	980000_1030000_NA	441000_483000_NA	1000
HH37	44	-125.001_-125.002	E588_E590_E592_E593	NA	Line7	day	undersat_arg_oversat_arg	benthic_pelagic_surface	deep_upper100	waySouth	offshore	slope	923.5_496.3_99.3_4.3	10.5_437.7_834.7_929.7	37	12.3_12.6_12.9_13.2	4.039_6.291_7.886_14.813	34.356_34.15_33.807_31.619	14.7_35.4_107.8_297	2363.1_2295.9_2223.1_1921.2	2357.8_2299.7_2253.2_2167	7.2927_7.3123_7.4101_8.0078	NA	120.2_71.9_40.8_1.1	3.28_2.96_2.29_0.28	43.6_38_30.2_0	0.03_0.07_0.06	0.02_0.01	3.776_16.223_10.224_4.427	0.508362565_0.592157977_0.77641944_2.662349527	44	NA_5.2	NA	NA	NA	NA	NA	NA	NA	1000
HH42	43.999	-125.105	E583	NA	Line7	day	undersat_arg	benthic	deep	waySouth	offshore	slope	1418	10	42	8.6	2.62	34.524	36.7	2389.3	2400.9	7.3472	NA	158	3.14	43.1	0.05	0.05	8.437	0.519768464	43.999	NA	NA	NA	NA	NA	NA	NA	NA	1000
JF20	48.361_48.362	-125.22	E427_E428_E429_E430	NA	Line3	day	undersat_arg_oversat_arg	benthic_pelagic_surface	deep_upper100	OCNMS	offshore	shelf	170.4_149.1_99.1_3.3	10.6_31.9_81.9_177.7	20	4.1_4.2_4.5	6.278_6.468_6.521_12.821	33.958_33.922_33.91_32.111	51.6_50.7_41_379	2282.2_2279.8_2288_1950.6	2279.7_NA_2210.1	7.2941_7.2855_7.2576_8.0096	45.22458568_43.95979118_40.74043879_175.0592586	64.8_63.7_66.3_8.4	2.81_2.79_2.9_0.45	35.8_36.3_2.3	0.2_0.14_0.08_0.13	0.21_0.04_0.55	35.885_24.042_22.653_15.36	0.59889189_NA_2.777531664	48.361_48.362	NA	NA	NA	NA	NA	NA	NA	NA	1000
